modification_family	candidate_count	candidate_ids	beat_parent_count	success_rate	mean_delta_parent	best_delta_parent	worst_delta_parent
WARMDOWN_RATIO	13	exp_000006,exp_000010,exp_000011,exp_000013,exp_000014,exp_000015,exp_000016,exp_000018,exp_000019,exp_000021,exp_000022,exp_000024,exp_000030	2	0.15384615384615385	0.0022376153846153787	-0.009125999999999967	0.012707000000000024
WARMUP_RATIO	3	exp_000001,exp_000003,exp_000004	0	0.0	0.14010566666666668	0.11713200000000001	0.185929
LR decay shape	1	exp_000029	0	0.0	0.016167000000000042	0.016167000000000042	0.016167000000000042
MATRIX_LR	1	exp_000026	0	0.0	0.005967000000000056	0.005967000000000056	0.005967000000000056
